Line list produced by Pgopher 10.0.505 13 Feb 2017 17:57  64 bit (fpc 3.1.1 x86_64-Linux),10000505
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,Excited,1,e,1,Ground,0,e,1,50002.2,0.00319217941934144,50002.2,0,0.666666666666667,26138355.9214949,0,R(0),Excited B(0)  1 e - Ground X(0)  0 e
LinearMolecule,Excited,1,f,1,Ground,1,e,1,50000.2,0.00474256034077817,50002.2,2,1,39202829.3733603,0,Q(1),Excited B(0)  1 f - Ground X(0)  1 e
LinearMolecule,Excited,2,e,1,Ground,1,e,1,50004.6,0.00474256034077817,50006.6,2,1,23527907.8738178,0,R(1),Excited B(0)  2 e - Ground X(0)  1 e
LinearMolecule,Excited,1,e,1,Ground,2,e,1,49996.2,0.0015508158688339,50002.2,6,0.333333333333333,13064473.8282045,0,P(2),Excited B(0)  1 e - Ground X(0)  2 e
LinearMolecule,Excited,2,f,1,Ground,2,e,1,50000.6,0.00775407934416953,50006.6,6,1.66666666666667,39203770.2450287,0,Q(2),Excited B(0)  2 f - Ground X(0)  2 e
LinearMolecule,Excited,3,e,1,Ground,2,e,1,50007.2,0.00620326347533562,50013.2,6,1.33333333333333,22411026.7434583,0,R(2),Excited B(0)  3 e - Ground X(0)  2 e
LinearMolecule,Excited,2,e,1,Ground,3,e,1,49994.6,0.00301365248388604,50006.6,12,0.666666666666666,15675863.5002373,0,P(3),Excited B(0)  2 e - Ground X(0)  3 e
LinearMolecule,Excited,3,f,1,Ground,3,e,1,50001.2,0.0105477836936011,50013.2,12,2.33333333333333,39205181.5807574,0,Q(3),Excited B(0)  3 f - Ground X(0)  3 e
LinearMolecule,Excited,4,e,1,Ground,3,e,1,50010,0.0075341312097151,50022,12,1.66666666666667,21792158.3684077,0,R(3),Excited B(0)  4 e - Ground X(0)  3 e
LinearMolecule,Excited,3,e,1,Ground,4,e,1,49993.2,0.00435032478237205,50013.2,20,1,16794157.095379,0,P(4),Excited B(0)  3 e - Ground X(0)  4 e
LinearMolecule,Excited,4,f,1,Ground,4,e,1,50002,0.0130509743471162,50022,20,3,39207063.4144183,0,Q(4),Excited B(0)  4 f - Ground X(0)  4 e
LinearMolecule,Excited,5,e,1,Ground,4,e,1,50013,0.0087006495647441,50033,20,2,21399788.0367678,0,R(4),Excited B(0)  5 e - Ground X(0)  4 e
LinearMolecule,Excited,4,e,1,Ground,5,e,1,49992,0.00552881403463824,50022,30,1.33333333333333,17414908.8095374,0,P(5),Excited B(0)  4 e - Ground X(0)  5 e
LinearMolecule,Excited,5,f,1,Ground,5,e,1,50003,0.0152042385952552,50033,30,3.66666666666667,39209415.791175,0,Q(5),Excited B(0)  5 f - Ground X(0)  5 e
LinearMolecule,Excited,6,e,1,Ground,5,e,1,50016.2,0.00967542456061692,50046.2,30,2.33333333333333,21129487.0679404,0,R(5),Excited B(0)  6 e - Ground X(0)  5 e
LinearMolecule,Excited,5,e,1,Ground,6,e,1,49991,0.00652450957466425,50033,42,1.66666666666667,17809633.3998103,0,P(6),Excited B(0)  5 e - Ground X(0)  6 e
LinearMolecule,Excited,6,f,1,Ground,6,e,1,50004.2,0.0169637248941271,50046.2,42,4.33333333333333,39212238.7674837,0,Q(6),Excited B(0)  6 f - Ground X(0)  6 e
LinearMolecule,Excited,7,e,1,Ground,6,e,1,50019.6,0.0104392153194628,50061.6,42,2.66666666666667,20932522.128866,0,R(6),Excited B(0)  7 e - Ground X(0)  6 e
LinearMolecule,Excited,6,e,1,Ground,7,e,1,49990.2,0.00732098149519918,50046.2,56,2,18082759.6032974,0,P(7),Excited B(0)  6 e - Ground X(0)  7 e
LinearMolecule,Excited,7,f,1,Ground,7,e,1,50005.6,0.0183024537379979,50061.6,56,5,39215532.4110944,0,Q(7),Excited B(0)  7 f - Ground X(0)  7 e
LinearMolecule,Excited,8,e,1,Ground,7,e,1,50023.2,0.0109814722427988,50079.2,56,3,20783093.2682133,0,R(7),Excited B(0)  8 e - Ground X(0)  7 e
LinearMolecule,Excited,7,e,1,Ground,8,e,1,49989.6,0.00791025714935662,50061.6,72,2.33333333333333,18283020.8208622,0,P(8),Excited B(0)  7 e - Ground X(0)  8 e
LinearMolecule,Excited,8,f,1,Ground,8,e,1,50007.2,0.0192106245055804,50079.2,72,5.66666666666667,39219296.8010521,0,Q(8),Excited B(0)  8 f - Ground X(0)  8 e
LinearMolecule,Excited,9,e,1,Ground,8,e,1,50027,0.0113003673562237,50099,72,3.33333333333333,20666263.7184504,0,R(8),Excited B(0)  9 e - Ground X(0)  8 e
LinearMolecule,Excited,8,e,1,Ground,9,e,1,49989.2,0.00829261236585503,50079.2,90,2.66666666666667,18436217.0829444,0,P(9),Excited B(0)  8 e - Ground X(0)  9 e
LinearMolecule,Excited,9,f,1,Ground,9,e,1,50009,0.0196949543689057,50099,90,6.33333333333333,39223532.0276985,0,Q(9),Excited B(0)  9 f - Ground X(0)  9 e
LinearMolecule,Excited,10,e,1,Ground,9,e,1,50031,0.0114023420030507,50121,90,3.66666666666667,20572786.9538761,0,R(9),Excited B(0) 10 e - Ground X(0)  9 e
LinearMolecule,Excited,9,e,1,Ground,10,e,1,49989,0.00847592326747095,50099,110,3,18557285.2474897,0,P(10),Excited B(0)  9 e - Ground X(0) 10 e
LinearMolecule,Excited,10,f,1,Ground,10,e,1,50011,0.0197771542907655,50121,110,7,39228238.1926737,0,Q(10),Excited B(0) 10 f - Ground X(0) 10 e
LinearMolecule,Excited,11,e,1,Ground,10,e,1,50035.2,0.0113012310232946,50145.2,110,4,20496632.6748973,0,R(10),Excited B(0) 11 e - Ground X(0) 10 e
LinearMolecule,Excited,10,e,1,Ground,11,e,1,49989,0.00847465346906509,50121,132,3.33333333333333,18655471.9419209,0,P(11),Excited B(0) 10 e - Ground X(0) 11 e
LinearMolecule,Excited,11,f,1,Ground,11,e,1,50013.2,0.0194917029788497,50145.2,132,7.66666666666667,39233415.4089184,0,Q(11),Excited B(0) 11 f - Ground X(0) 11 e
LinearMolecule,Excited,12,e,1,Ground,11,e,1,50039.6,0.0110170495097846,50171.6,132,4.33333333333333,20433700.3198542,0,R(11),Excited B(0) 12 e - Ground X(0) 11 e
LinearMolecule,Excited,11,e,1,Ground,12,e,1,49989.2,0.00830857201974973,50145.2,156,3.66666666666666,18736807.5788619,0,P(12),Excited B(0) 11 e - Ground X(0) 12 e
LinearMolecule,Excited,12,f,1,Ground,12,e,1,50015.6,0.018883118226704,50171.6,156,8.33333333333333,39239063.800676,0,Q(12),Excited B(0) 12 f - Ground X(0) 12 e
LinearMolecule,Excited,13,e,1,Ground,12,e,1,50044.2,0.0105745462069542,50200.2,156,4.66666666666667,20381104.3493688,0,R(12),Excited B(0) 13 e - Ground X(0) 12 e
LinearMolecule,Excited,12,e,1,Ground,13,e,1,49989.6,0.00800130853341119,50171.6,182,4,18805392.8443154,0,P(13),Excited B(0) 12 e - Ground X(0) 13 e
