Line list produced by Pgopher 10.0.505 13 Feb 2017 17:57  64 bit (fpc 3.1.1 x86_64-Linux),10000505
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,Excited,0.5,f,1,Ground,0.5,e,1,49898.990176,0.000540182180556983,49942.200176,43.21,0.222222222222222,12988416.3981986,0,qQ1e(0.5),Excited B(0) 0.5  1 F1f - Ground X(0) 0.5  1 F1e
LinearMolecule,Excited,1.5,e,1,Ground,0.5,e,1,49901.8688892063,0.00107617196266306,49945.0788892063,43.21,0.442719759451613,12940253.6555987,0,qR1e(0.5),Excited B(0) 1.5  1 F1e - Ground X(0) 0.5  1 F1e
LinearMolecule,Excited,1.5,e,2,Ground,0.5,e,1,50010.5116707937,4.19239845090667E-6,50053.7216707937,43.21,0.00172468499283123,50740.7788853012,0,rR21e(0.5),Excited B(0) 1.5  2 F2e - Ground X(0) 0.5  1 F1e
LinearMolecule,Excited,0.5,e,1,Ground,0.5,f,1,49898.990176,0.000540182180556983,49942.200176,43.21,0.222222222222222,12988416.3981986,0,qQ1f(0.5),Excited B(0) 0.5  1 F1e - Ground X(0) 0.5  1 F1f
LinearMolecule,Excited,1.5,f,1,Ground,0.5,f,1,49901.8688892063,0.00107617196266306,49945.0788892063,43.21,0.442719759451613,12940253.6555987,0,qR1f(0.5),Excited B(0) 1.5  1 F1f - Ground X(0) 0.5  1 F1f
LinearMolecule,Excited,1.5,f,2,Ground,0.5,f,1,50010.5116707937,4.19239845090667E-6,50053.7216707937,43.21,0.00172468499283123,50740.7788853012,0,rR21f(0.5),Excited B(0) 1.5  2 F2f - Ground X(0) 0.5  1 F1f
LinearMolecule,Excited,0.5,f,1,Ground,1.5,f,1,49894.2563092425,0.00105551553972559,49942.200176,47.9438667574772,0.444193059031589,25954751.5485869,0,qP1f(1.5),Excited B(0) 0.5  1 F1f - Ground X(0) 1.5  1 F1f
LinearMolecule,Excited,0.5,f,1,Ground,1.5,f,2,49777.3340427575,3.40958991710722E-7,49942.200176,164.866133242523,0.000251385412855456,14585.7383786954,0,pP12f(1.5),Excited B(0) 0.5  1 F1f - Ground X(0) 1.5  2 F2f
LinearMolecule,Excited,1.5,e,1,Ground,1.5,f,1,49897.1350224488,0.000208414680201143,49945.0788892063,47.9438667574772,0.087707239601327,2562864.96621933,0,qQ1f(1.5),Excited B(0) 1.5  1 F1e - Ground X(0) 1.5  1 F1f
LinearMolecule,Excited,1.5,e,2,Ground,1.5,f,1,50005.7778040362,3.76366781763479E-6,50053.7216707937,47.9438667574772,0.0015838659481305,46584.6067344826,0,rQ21f(1.5),Excited B(0) 1.5  2 F2e - Ground X(0) 1.5  1 F1f
LinearMolecule,Excited,1.5,e,1,Ground,1.5,f,2,49780.2127559638,5.34545304064388E-6,49945.0788892063,164.866133242523,0.00394114527609174,114355.258591313,0,pQ12f(1.5),Excited B(0) 1.5  1 F1e - Ground X(0) 1.5  2 F2f
LinearMolecule,Excited,1.5,e,2,Ground,1.5,f,2,49888.8555375512,0.00107916478518189,50053.7216707937,164.866133242523,0.795656638063339,23238054.4670144,0,qQ2f(1.5),Excited B(0) 1.5  2 F2e - Ground X(0) 1.5  2 F2f
LinearMolecule,Excited,2.5,f,1,Ground,1.5,f,1,49901.9399204396,0.00187325018771867,49949.8837871971,47.9438667574772,0.788320683019578,15361279.8219404,0,rR1f(1.5),Excited B(0) 2.5  2 F1f - Ground X(0) 1.5  1 F1f
LinearMolecule,Excited,2.5,f,2,Ground,1.5,f,1,50011.9730660455,0.0000273946105031614,50059.916932803,47.9438667574772,0.0115284857327081,226134.291360221,0,sR21f(1.5),Excited B(0) 2.5  3 F2f - Ground X(0) 1.5  1 F1f
LinearMolecule,Excited,2.5,f,1,Ground,1.5,f,2,49785.0176539545,0.0000121693605470114,49949.8837871971,164.866133242523,0.00897233919524508,173609.65421496,0,qR12f(1.5),Excited B(0) 2.5  2 F1f - Ground X(0) 1.5  2 F2f
LinearMolecule,Excited,2.5,f,2,Ground,1.5,f,2,49895.0507995604,0.000711405729920863,50059.916932803,164.866133242523,0.524511825385801,10216446.9346947,0,rR2f(1.5),Excited B(0) 2.5  3 F2f - Ground X(0) 1.5  2 F2f
LinearMolecule,Excited,0.5,e,1,Ground,1.5,e,1,49894.2563092425,0.00105551553972559,49942.200176,47.9438667574772,0.444193059031589,25954751.5485869,0,qP1e(1.5),Excited B(0) 0.5  1 F1e - Ground X(0) 1.5  1 F1e
LinearMolecule,Excited,0.5,e,1,Ground,1.5,e,2,49777.3340427575,3.40958991710722E-7,49942.200176,164.866133242523,0.000251385412855456,14585.7383786954,0,pP12e(1.5),Excited B(0) 0.5  1 F1e - Ground X(0) 1.5  2 F2e
LinearMolecule,Excited,1.5,f,1,Ground,1.5,e,1,49897.1350224488,0.000208414680201143,49945.0788892063,47.9438667574772,0.087707239601327,2562864.96621933,0,qQ1e(1.5),Excited B(0) 1.5  1 F1f - Ground X(0) 1.5  1 F1e
LinearMolecule,Excited,1.5,f,2,Ground,1.5,e,1,50005.7778040362,3.76366781763479E-6,50053.7216707937,47.9438667574772,0.0015838659481305,46584.6067344826,0,rQ21e(1.5),Excited B(0) 1.5  2 F2f - Ground X(0) 1.5  1 F1e
LinearMolecule,Excited,1.5,f,1,Ground,1.5,e,2,49780.2127559638,5.34545304064388E-6,49945.0788892063,164.866133242523,0.00394114527609174,114355.258591313,0,pQ12e(1.5),Excited B(0) 1.5  1 F1f - Ground X(0) 1.5  2 F2e
LinearMolecule,Excited,1.5,f,2,Ground,1.5,e,2,49888.8555375512,0.00107916478518189,50053.7216707937,164.866133242523,0.795656638063339,23238054.4670144,0,qQ2e(1.5),Excited B(0) 1.5  2 F2f - Ground X(0) 1.5  2 F2e
LinearMolecule,Excited,2.5,e,1,Ground,1.5,e,1,49901.9399204396,0.00187325018771867,49949.8837871971,47.9438667574772,0.788320683019578,15361279.8219404,0,rR1e(1.5),Excited B(0) 2.5  2 F1e - Ground X(0) 1.5  1 F1e
LinearMolecule,Excited,2.5,e,2,Ground,1.5,e,1,50011.9730660455,0.0000273946105031614,50059.916932803,47.9438667574772,0.0115284857327081,226134.291360221,0,sR21e(1.5),Excited B(0) 2.5  3 F2e - Ground X(0) 1.5  1 F1e
LinearMolecule,Excited,2.5,e,1,Ground,1.5,e,2,49785.0176539545,0.0000121693605470114,49949.8837871971,164.866133242523,0.00897233919524508,173609.65421496,0,qR12e(1.5),Excited B(0) 2.5  2 F1e - Ground X(0) 1.5  2 F2e
LinearMolecule,Excited,2.5,e,2,Ground,1.5,e,2,49895.0507995604,0.000711405729920863,50059.916932803,164.866133242523,0.524511825385801,10216446.9346947,0,rR2e(1.5),Excited B(0) 2.5  3 F2e - Ground X(0) 1.5  2 F2e
LinearMolecule,Excited,1.5,e,1,Ground,2.5,e,1,49889.245078583,0.00181337395723882,49945.0788892063,55.8338106233107,0.792552480314081,23147936.2406359,0,pP1e(2.5),Excited B(0) 1.5  1 F1e - Ground X(0) 2.5  2 F1e
LinearMolecule,Excited,1.5,e,2,Ground,2.5,e,1,49997.8878601704,0.0000161223702284244,50053.7216707937,55.8338106233107,0.00704643654005933,207151.446697914,0,qP21e(2.5),Excited B(0) 1.5  2 F2e - Ground X(0) 2.5  2 F1e
LinearMolecule,Excited,1.5,e,1,Ground,2.5,e,2,49772.1026998296,8.36587956836001E-6,49945.0788892063,172.976189376689,0.00641270869021958,185978.580517403,0,oP12e(2.5),Excited B(0) 1.5  1 F1e - Ground X(0) 2.5  3 F2e
LinearMolecule,Excited,1.5,e,2,Ground,2.5,e,2,49880.745481417,0.00068793237214607,50053.7216707937,172.976189376689,0.527321707788972,15393518.8430257,0,pP2e(2.5),Excited B(0) 1.5  2 F2e - Ground X(0) 2.5  3 F2e
LinearMolecule,Excited,2.5,f,1,Ground,2.5,e,1,49894.0499765737,0.000126192630158463,49949.8837871971,55.8338106233107,0.0551536993405025,1074219.70008833,0,qQ1e(2.5),Excited B(0) 2.5  2 F1f - Ground X(0) 2.5  2 F1e
LinearMolecule,Excited,2.5,f,2,Ground,2.5,e,1,50004.0831221796,6.12440263038133E-6,50059.916932803,55.8338106233107,0.00267672890954149,52479.8985634054,0,rQ21e(2.5),Excited B(0) 2.5  3 F2f - Ground X(0) 2.5  2 F1e
LinearMolecule,Excited,2.5,f,1,Ground,2.5,e,2,49776.9075978204,8.64895013978822E-6,49949.8837871971,172.976189376689,0.00662969114837119,128218.067323378,0,pQ12e(2.5),Excited B(0) 2.5  2 F1f - Ground X(0) 2.5  3 F2e
LinearMolecule,Excited,2.5,f,2,Ground,2.5,e,2,49886.9407434263,0.000661379959627788,50059.916932803,172.976189376689,0.506968452030156,9869922.51655934,0,qQ2e(2.5),Excited B(0) 2.5  3 F2f - Ground X(0) 2.5  3 F2e
LinearMolecule,Excited,3.5,e,1,Ground,2.5,e,1,49900.7910549781,0.0025376354005483,49956.6248656015,55.8338106233107,1.10909789059715,16207858.1050558,0,rR1e(2.5),Excited B(0) 3.5  3 F1e - Ground X(0) 2.5  2 F1e
LinearMolecule,Excited,3.5,e,2,Ground,2.5,e,1,50012.7412597752,0.0000765862710213786,50068.5750703986,55.8338106233107,0.0334727642986692,492455.523759842,0,sR21e(2.5),Excited B(0) 3.5  4 F2e - Ground X(0) 2.5  2 F1e
LinearMolecule,Excited,3.5,e,1,Ground,2.5,e,2,49783.6486762248,0.0000394341060447053,49956.6248656015,172.976189376689,0.0302274772733185,438627.168550179,0,qR12e(2.5),Excited B(0) 3.5  3 F1e - Ground X(0) 2.5  3 F2e
LinearMolecule,Excited,3.5,e,2,Ground,2.5,e,2,49895.5988810219,0.00120339501026253,50068.5750703986,172.976189376689,0.922439963068961,13475915.6630033,0,rR2e(2.5),Excited B(0) 3.5  4 F2e - Ground X(0) 2.5  3 F2e
LinearMolecule,Excited,1.5,f,1,Ground,2.5,f,1,49889.245078583,0.00181337395723882,49945.0788892063,55.8338106233107,0.792552480314081,23147936.2406359,0,pP1f(2.5),Excited B(0) 1.5  1 F1f - Ground X(0) 2.5  2 F1f
LinearMolecule,Excited,1.5,f,2,Ground,2.5,f,1,49997.8878601704,0.0000161223702284244,50053.7216707937,55.8338106233107,0.00704643654005933,207151.446697914,0,qP21f(2.5),Excited B(0) 1.5  2 F2f - Ground X(0) 2.5  2 F1f
