Line list produced by Pgopher 10.0.505 13 Feb 2017 17:57  64 bit (fpc 3.1.1 x86_64-Linux),10000505
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,Excited,0.5,f,1,Ground,0.5,e,1,49948.990176,0.00108036436111397,49992.200176,43.21,0.444444444444444,26054999.3208582,0,qQ21(0.5),Excited A(3) 0.5  1 F2f - Ground X(0) 0.5  1 F1e
LinearMolecule,Excited,1.5,e,1,Ground,0.5,e,1,49963.989876,0.000540182180556983,50007.199876,43.21,0.222222222222222,6519619.8369888,0,qR1(0.5),Excited A(3) 1.5  1 F1e - Ground X(0) 0.5  1 F1e
LinearMolecule,Excited,0.5,e,1,Ground,0.5,f,1,49956.79,0.00108036436111397,50000,43.21,0.444444444444444,26067207.1439569,0,pQ1(0.5),Excited A(3) 0.5  0 F1e - Ground X(0) 0.5  1 F1f
LinearMolecule,Excited,1.5,f,1,Ground,0.5,f,1,49948.390684,0.000540182180556983,49991.600684,43.21,0.222222222222222,6513515.29730213,0,rR21(0.5),Excited A(3) 1.5  2 F2f - Ground X(0) 0.5  1 F1f
LinearMolecule,Excited,0.5,f,1,Ground,1.5,f,1,49944.2563092425,0.000485161800033077,49992.200176,47.9438667574772,0.204170849192795,11965857.7059746,0,qP21(1.5),Excited A(3) 0.5  1 F2f - Ground X(0) 1.5  1 F1f
LinearMolecule,Excited,0.5,f,1,Ground,1.5,f,2,49827.3340427575,0.000928696576977439,49992.200176,164.866133242523,0.684718039696094,39848150.6759592,0,pP2(1.5),Excited A(3) 0.5  1 F2f - Ground X(0) 1.5  2 F2f
LinearMolecule,Excited,1.5,e,1,Ground,1.5,f,1,49959.2560092425,0.00175912889543581,50007.199876,47.9438667574772,0.740294970453621,21712815.2367795,0,qQ1(1.5),Excited A(3) 1.5  1 F1e - Ground X(0) 1.5  1 F1f
LinearMolecule,Excited,1.5,e,1,Ground,1.5,f,2,49842.3337427575,0.000683787871264588,50007.199876,164.866133242523,0.504149473990823,14683104.0458684,0,pQ12(1.5),Excited A(3) 1.5  1 F1e - Ground X(0) 1.5  2 F2f
LinearMolecule,Excited,2.5,f,1,Ground,1.5,f,1,49945.2576692425,0.000924047990497311,49993.201536,47.9438667574772,0.388867513686917,7597253.70360048,0,sR21(1.5),Excited A(3) 2.5  3 F2f - Ground X(0) 1.5  1 F1f
LinearMolecule,Excited,2.5,f,1,Ground,1.5,f,2,49828.3354027575,0.000195941839440092,49993.201536,164.866133242523,0.144465819646416,2802634.31663123,0,rR2(1.5),Excited A(3) 2.5  3 F2f - Ground X(0) 1.5  2 F2f
LinearMolecule,Excited,0.5,e,1,Ground,1.5,e,1,49952.0561332425,0.000572145806481945,50000,47.9438667574772,0.24077636607736,14117812.5325946,0,pP1(1.5),Excited A(3) 0.5  0 F1e - Ground X(0) 1.5  1 F1e
LinearMolecule,Excited,0.5,e,1,Ground,1.5,e,2,49835.1338667575,0.000879047792721259,50000,164.866133242523,0.648112522811528,37735555.4878226,0,oP12(1.5),Excited A(3) 0.5  0 F1e - Ground X(0) 1.5  2 F2e
LinearMolecule,Excited,1.5,f,1,Ground,1.5,e,1,49943.6568172425,0.00161995448511762,49991.600684,47.9438667574772,0.681726143438316,19976270.6477953,0,rQ21(1.5),Excited A(3) 1.5  2 F2f - Ground X(0) 1.5  1 F1e
LinearMolecule,Excited,1.5,f,1,Ground,1.5,e,2,49826.7345507575,0.000763225926074476,49991.600684,164.866133242523,0.562718301006128,16373509.2452136,0,qQ2(1.5),Excited A(3) 1.5  2 F2f - Ground X(0) 1.5  2 F2e
LinearMolecule,Excited,2.5,e,1,Ground,1.5,e,1,49968.6553172425,0.000976238394366632,50016.599184,47.9438667574772,0.410830823817656,8037633.5134024,0,rR1(1.5),Excited A(3) 2.5  2 F1e - Ground X(0) 1.5  1 F1e
LinearMolecule,Excited,2.5,e,1,Ground,1.5,e,2,49851.7330507575,0.000166152568886384,50016.599184,164.866133242523,0.122502509515677,2379895.89526676,0,qR12(1.5),Excited A(3) 2.5  2 F1e - Ground X(0) 1.5  2 F2e
LinearMolecule,Excited,1.5,e,1,Ground,2.5,e,1,49951.3660653767,0.00101689956067807,50007.199876,55.8338106233107,0.444445706208826,13029395.7492523,0,pP1(2.5),Excited A(3) 1.5  1 F1e - Ground X(0) 2.5  2 F1e
LinearMolecule,Excited,1.5,e,1,Ground,2.5,e,2,49834.2236866233,0.000985679614427929,50007.199876,172.976189376689,0.755554293791174,21994405.1599887,0,oP12(2.5),Excited A(3) 1.5  1 F1e - Ground X(0) 2.5  3 F2e
LinearMolecule,Excited,2.5,f,1,Ground,2.5,e,1,49937.3677253767,0.00218102582025197,49993.201536,55.8338106233107,0.953238253240281,18614466.4817076,0,rQ21(2.5),Excited A(3) 2.5  3 F2f - Ground X(0) 2.5  2 F1e
LinearMolecule,Excited,2.5,f,1,Ground,2.5,e,2,49820.2253466233,0.00129103516923133,49993.201536,172.976189376689,0.989618889616861,19189215.9972536,0,qQ2(2.5),Excited A(3) 2.5  3 F2f - Ground X(0) 2.5  3 F2e
LinearMolecule,Excited,3.5,e,1,Ground,2.5,e,1,49972.3635253767,0.00137810965089574,50028.197336,55.8338106233107,0.602316040550892,8839904.16086,0,rR1(2.5),Excited A(3) 3.5  3 F1e - Ground X(0) 2.5  2 F1e
LinearMolecule,Excited,3.5,e,1,Ground,2.5,e,2,49855.2211466233,0.000332441494129986,50028.197336,172.976189376689,0.254826816591965,3713731.70628928,0,qR12(2.5),Excited A(3) 3.5  3 F1e - Ground X(0) 2.5  3 F2e
LinearMolecule,Excited,1.5,f,1,Ground,2.5,f,1,49935.7668733767,0.00081626750784143,49991.600684,55.8338106233107,0.356757543228751,10448929.2166028,0,qP21(2.5),Excited A(3) 1.5  2 F2f - Ground X(0) 2.5  2 F1f
LinearMolecule,Excited,1.5,f,1,Ground,2.5,f,2,49818.6244946233,0.00110007567489156,49991.600684,172.976189376689,0.843242456771249,24523989.03336,0,pP2(2.5),Excited A(3) 1.5  2 F2f - Ground X(0) 2.5  3 F2f
LinearMolecule,Excited,2.5,e,1,Ground,2.5,f,1,49960.7653733767,0.00252496648225763,50016.599184,55.8338106233107,1.10356081834898,21580212.3323714,0,qQ1(2.5),Excited A(3) 2.5  2 F1e - Ground X(0) 2.5  2 F1f
LinearMolecule,Excited,2.5,e,1,Ground,2.5,f,2,49843.6229946233,0.00109492763700795,50016.599184,172.976189376689,0.83929632450816,16297324.7921574,0,pQ12(2.5),Excited A(3) 2.5  2 F1e - Ground X(0) 2.5  3 F2f
LinearMolecule,Excited,3.5,f,1,Ground,2.5,f,1,49941.1687893767,0.00123480104172671,49997.0026,55.8338106233107,0.539681638422267,7905825.13329183,0,sR21(2.5),Excited A(3) 3.5  4 F2f - Ground X(0) 2.5  2 F1f
LinearMolecule,Excited,3.5,f,1,Ground,2.5,f,2,49824.0264106233,0.000414152965889726,49997.0026,172.976189376689,0.31746121872059,4617858.25357404,0,rR2(2.5),Excited A(3) 3.5  4 F2f - Ground X(0) 2.5  3 F2f
LinearMolecule,Excited,2.5,f,1,Ground,3.5,f,1,49926.3214574559,0.00107285123006016,49993.201536,66.8800785441138,0.494410637789643,9648253.47737029,0,qP21(3.5),Excited A(3) 2.5  3 F2f - Ground X(0) 3.5  3 F1f
LinearMolecule,Excited,2.5,f,1,Ground,3.5,f,2,49808.8716145441,0.00127176170353561,49993.201536,184.329921455886,1.02939888601988,19946926.8814409,0,pP2(3.5),Excited A(3) 2.5  3 F2f - Ground X(0) 3.5  4 F2f
LinearMolecule,Excited,3.5,e,1,Ground,3.5,f,1,49961.3172574559,0.00323992959373012,50028.197336,66.8800785441138,1.49308274245985,21898732.1741717,0,qQ1(3.5),Excited A(3) 3.5  3 F1e - Ground X(0) 3.5  3 F1f
LinearMolecule,Excited,3.5,e,1,Ground,3.5,f,2,49843.8674145441,0.0013976000236754,50028.197336,184.329921455886,1.13125588187877,16475154.7355474,0,pQ12(3.5),Excited A(3) 3.5  3 F1e - Ground X(0) 3.5  4 F2f
LinearMolecule,Excited,4.5,f,1,Ground,3.5,f,1,49936.1235214559,0.00147377875810731,50003.0036,66.8800785441138,0.67917328641717,7956984.55351277,0,sR21(3.5),Excited A(3) 4.5  5 F2f - Ground X(0) 3.5  3 F1f
LinearMolecule,Excited,4.5,f,1,Ground,3.5,f,2,49818.6736785441,0.000625147902456609,50003.0036,184.329921455886,0.506011898768015,5886547.5335195,0,rR2(3.5),Excited A(3) 4.5  5 F2f - Ground X(0) 3.5  4 F2f
