Line list produced by Pgopher 10.0.505 13 Feb 2017 17:57  64 bit (fpc 3.1.1 x86_64-Linux),10000505
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,Excited,1,e,2,Ground,0,e,1,41421.1483405606,0.000362886940873299,41989.3485498913,568.200209330701,0.308532755591175,6876538.36814101,0,pR1(0),Excited B(v=1)  1  0 F1e - Ground v=0  0  1 F1e
LinearMolecule,Excited,1,e,3,Ground,0,e,1,41421.4321718076,7.00733858341304E-6,41989.6323811383,568.200209330701,0.00595776050055117,132788.529346538,0,rR21(0),Excited A(10)  1  2 F2e - Ground v=0  0  1 F1e
LinearMolecule,Excited,1,e,4,Ground,0,e,1,41427.1819018116,0.0000216496138810744,41995.3821111423,568.200209330701,0.0184068762908308,410429.39283832,0,rR31(0),Excited B(v=1)  1  2 F3e - Ground v=0  0  1 F1e
LinearMolecule,Excited,1,e,5,Ground,0,e,1,41437.1556784902,5.12740617971018E-7,42005.3558878209,568.200209330701,0.000435940944541608,9727.46461454195,0,qR21(0),Excited App(14)  1  1 F2e - Ground v=0  0  1 F1e
LinearMolecule,Excited,1,e,2,Ground,1,f,1,41410.5970123781,0.0000307946997495823,41989.3485498913,578.751537513229,0.0275411885378678,613365.495366552,0,pQ12(1),Excited B(v=1)  1  0 F1e - Ground v=0  1  1 F2f
LinearMolecule,Excited,1,e,3,Ground,1,f,1,41410.8808436251,6.59554178340639E-7,41989.6323811383,578.751537513229,0.000589871183168928,13137.1988382906,0,rQ2(1),Excited A(10)  1  2 F2e - Ground v=0  1  1 F2f
LinearMolecule,Excited,1,e,4,Ground,1,f,1,41416.6305736291,0.000524105581274485,41995.3821111423,578.751537513229,0.468732955508851,10443641.8352843,0,rQ32(1),Excited B(v=1)  1  2 F3e - Ground v=0  1  1 F2f
LinearMolecule,Excited,1,e,5,Ground,1,f,1,41426.6043503077,3.5064230109397E-6,42005.3558878209,578.751537513229,0.00313596359188786,69921.5761517744,0,qQ2(1),Excited App(14)  1  1 F2e - Ground v=0  1  1 F2f
LinearMolecule,Excited,2,f,3,Ground,1,f,1,41418.2182085757,0.00055298701776074,41996.9697460889,578.751537513229,0.494563020227153,6612250.7352918,0,rR2(1),Excited B(v=1)  2  2 F2f - Ground v=0  1  1 F2f
LinearMolecule,Excited,2,f,4,Ground,1,f,1,41427.5281378286,4.83152178193895E-6,42006.2796753418,578.751537513229,0.00432106347531447,57811.0885695638,0,qR12(1),Excited App(14)  2  1 F1f - Ground v=0  1  1 F2f
