Line list produced by Pgopher 10.0.505 13 Feb 2017 17:57  64 bit (fpc 3.1.1 x86_64-Linux),10000505
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,Excited,1,e,2,Ground,0,e,1,41419.6275393786,0.000346866375026982,41987.8277487093,568.200209330701,0.29491179333004,6572232.15045122,0,pR1(0),Excited B(v=1)  1  0 F1e - Ground v=0  0  1 F1e
LinearMolecule,Excited,1,e,3,Ground,0,e,1,41421.4275488324,1.45360435945313E-7,41989.6277581631,568.200209330701,0.000123587957583188,2754.56820328111,0,rR21(0),Excited A(10)  1  2 F2e - Ground v=0  0  1 F1e
LinearMolecule,Excited,1,e,4,Ground,0,e,1,41427.1430340156,0.0000106433418268557,41995.3432433463,568.200209330701,0.0090491533661586,201773.946287751,0,rR31(0),Excited B(v=1)  1  2 F3e - Ground v=0  0  1 F1e
LinearMolecule,Excited,1,e,5,Ground,0,e,1,41438.7199704433,0.0000344015566659411,42006.920179774,568.200209330701,0.0292487986732888,652723.450762503,0,qR21(0),Excited App(14)  1  1 F2e - Ground v=0  0  1 F1e
LinearMolecule,Excited,1,e,2,Ground,1,f,1,41409.0762111961,0.0000187591921834406,41987.8277487093,578.751537513229,0.0167772523500328,373602.39420273,0,pQ12(1),Excited B(v=1)  1  0 F1e - Ground v=0  1  1 F2f
LinearMolecule,Excited,1,e,3,Ground,1,f,1,41410.8762206499,1.40788149162018E-8,41989.6277581631,578.751537513229,0.0000125913647202265,280.425983325977,0,rQ2(1),Excited A(10)  1  2 F2e - Ground v=0  1  1 F2f
LinearMolecule,Excited,1,e,4,Ground,1,f,1,41416.5917058331,0.000539587009159331,41995.3432433463,578.751537513229,0.482578744806334,10752103.7718896,0,rQ32(1),Excited B(v=1)  1  2 F3e - Ground v=0  1  1 F2f
LinearMolecule,Excited,1,e,5,Ground,1,f,1,41428.1686422608,7.05978056979998E-7,42006.920179774,578.751537513229,0.000631390301869964,14079.5022349235,0,qQ2(1),Excited App(14)  1  1 F2e - Ground v=0  1  1 F2f
LinearMolecule,Excited,2,f,3,Ground,1,f,1,41413.8413128546,0.000450546385111685,41992.5928503679,578.751537513229,0.40294541068172,5385626.07722947,0,rR2(1),Excited B(v=1)  2  2 F2f - Ground v=0  1  1 F2f
LinearMolecule,Excited,2,f,4,Ground,1,f,1,41427.5136041057,1.46285333629785E-6,42006.2651416189,578.751537513229,0.00130830044994267,17503.6062341271,0,qR12(1),Excited App(14)  2  1 F1f - Ground v=0  1  1 F2f
LinearMolecule,Excited,2,f,5,Ground,1,f,1,41437.1003452294,0.000107056632460269,42015.8518827426,578.751537513229,0.095745921304444,1281863.53042092,0,sR32(1),Excited App(14)  2  3 F3f - Ground v=0  1  1 F2f
LinearMolecule,Excited,0,e,2,Ground,1,e,1,41419.5183239679,0.000373177246751912,41988.7192468933,569.200922925456,0.318808156808509,21314149.0869629,0,rP1(1),Excited B(v=1)  0  1 F1e - Ground v=0  1  0 F1e
LinearMolecule,Excited,0,e,2,Ground,1,e,2,41409.5325846209,0.0000162072159212241,41988.7192468933,579.186662272476,0.0145251765248246,970388.959510142,0,pP13(1),Excited B(v=1)  0  1 F1e - Ground v=0  1  2 F3e
LinearMolecule,Excited,1,f,3,Ground,1,e,1,41424.2435151547,0.0000232111128808225,41993.4444380801,569.200922925456,0.0198294300614976,442054.868607344,0,rQ21(1),Excited B(v=1)  1  1 F2f - Ground v=0  1  0 F1e
LinearMolecule,Excited,1,f,4,Ground,1,e,1,41436.0549759689,2.01363010632138E-8,42005.2558988943,569.200922925456,0.0000172025949673512,383.823316471359,0,qQ1(1),Excited App(14)  1  0 F1f - Ground v=0  1  0 F1e
LinearMolecule,Excited,1,f,5,Ground,1,e,1,41442.7836262022,2.27216888896065E-6,42011.9845491277,569.200922925456,0.0019411311427804,43331.509684521,0,sQ31(1),Excited App(14)  1  2 F3f - Ground v=0  1  0 F1e
LinearMolecule,Excited,1,f,3,Ground,1,e,2,41414.2577758076,0.000485629696483951,41993.4444380801,579.186662272476,0.435229412714185,9695496.9062369,0,pQ23(1),Excited B(v=1)  1  1 F2f - Ground v=0  1  2 F3e
LinearMolecule,Excited,1,f,4,Ground,1,e,2,41426.0692366219,4.21297583784422E-7,42005.2558988943,579.186662272476,0.000377573903111708,8418.31819754991,0,oQ13(1),Excited App(14)  1  0 F1f - Ground v=0  1  2 F3e
LinearMolecule,Excited,1,f,5,Ground,1,e,2,41432.7978868552,0.000047538982450855,42011.9845491277,579.186662272476,0.0426052269103757,950381.239698707,0,qQ3(1),Excited App(14)  1  2 F3f - Ground v=0  1  2 F3e
LinearMolecule,Excited,2,e,2,Ground,1,e,1,41417.5946177866,0.000636803376618904,41986.795540712,569.200922925456,0.544025962237387,7273236.05827532,0,rR1(1),Excited B(v=1)  2  1 F1e - Ground v=0  1  0 F1e
LinearMolecule,Excited,2,e,3,Ground,1,e,1,41422.274387732,9.8115144369815E-8,41991.4753106575,569.200922925456,0.0000838205131845467,1120.99990855698,0,sR21(1),Excited A(10)  2  2 F2e - Ground v=0  1  0 F1e
LinearMolecule,Excited,2,e,4,Ground,1,e,1,41428.2754568323,4.21865959152355E-7,41997.4763797578,569.200922925456,0.000360403293684804,4822.06161225099,0,tR31(1),Excited B(v=1)  2  3 F3e - Ground v=0  1  0 F1e
LinearMolecule,Excited,2,e,5,Ground,1,e,1,41441.5962634367,0.000134534548776415,42010.7971863621,569.200922925456,0.114933887035688,1539256.36821571,0,sR21(1),Excited App(14)  2  2 F2e - Ground v=0  1  0 F1e
LinearMolecule,Excited,2,e,2,Ground,1,e,2,41407.6088784396,2.56510781601013E-8,41986.795540712,579.186662272476,0.0000229889229673077,307.123126804754,0,pR13(1),Excited B(v=1)  2  1 F1e - Ground v=0  1  2 F3e
LinearMolecule,Excited,2,e,3,Ground,1,e,2,41412.288648385,2.27702379106239E-9,41991.4753106575,579.186662272476,2.04070660113156E-6,27.2722961846753,0,qR23(1),Excited A(10)  2  2 F2e - Ground v=0  1  2 F3e
LinearMolecule,Excited,2,e,4,Ground,1,e,2,41418.2897174853,0.000547353607172205,41997.4763797578,579.186662272476,0.49054740828524,6558596.43548545,0,rR3(1),Excited B(v=1)  2  3 F3e - Ground v=0  1  2 F3e
LinearMolecule,Excited,2,e,5,Ground,1,e,2,41431.6105240896,0.0000186227799301915,42010.7971863621,579.186662272476,0.0166900451739377,223360.51215128,0,qR23(1),Excited App(14)  2  2 F2e - Ground v=0  1  2 F3e
LinearMolecule,Excited,1,e,2,Ground,2,e,1,41416.5276934718,0.000684543624893535,41987.8277487093,571.300055237506,0.590728008358397,13161664.2150036,0,pP1(2),Excited B(v=1)  1  0 F1e - Ground v=0  2  1 F1e
