Line list produced by Pgopher 10.0.505 13 Feb 2017 17:57  64 bit (fpc 3.1.1 x86_64-Linux),10000505
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,Excited,1,e,2,Ground,0,e,1,41419.5837947874,0.000344271206387159,41987.7840041181,568.200209330701,0.292705336052351,6523039.66337351,0,pR1(0),Excited B(v=1)  1  0 F1e - Ground v=0  0  1 F1e
LinearMolecule,Excited,1,e,4,Ground,0,e,1,41427.2023054523,0.0000138672428524908,41995.402514783,568.200209330701,0.0117901697962309,262893.024563651,0,rR31(0),Excited B(v=1)  1  2 F3e - Ground v=0  0  1 F1e
LinearMolecule,Excited,1,e,5,Ground,0,e,1,41438.7052071415,0.00003391818472344,42006.9054164722,568.200209330701,0.0288378274847516,643551.427884424,0,qR21(0),Excited App(14)  1  1 F2e - Ground v=0  0  1 F1e
LinearMolecule,Excited,1,e,2,Ground,1,f,1,41409.0324666049,0.0000217975466234082,41987.7840041181,578.751537513229,0.0194945995934379,434111.965903032,0,pQ12(1),Excited B(v=1)  1  0 F1e - Ground v=0  1  1 F2f
LinearMolecule,Excited,1,e,4,Ground,1,f,1,41416.6509772697,0.00053726587453727,41995.402514783,578.751537513229,0.480502841914998,10705897.5465147,0,rQ32(1),Excited B(v=1)  1  2 F3e - Ground v=0  1  1 F2f
LinearMolecule,Excited,1,e,5,Ground,1,f,1,41428.153878959,2.86073273169724E-9,42006.9054164722,578.751537513229,2.55849156383452E-6,57.0522687373675,0,qQ2(1),Excited App(14)  1  1 F2e - Ground v=0  1  1 F2f
LinearMolecule,Excited,2,f,3,Ground,1,f,1,41413.8486694449,0.000451134665389486,41992.6002069581,578.751537513229,0.403471538170405,5392660.98525671,0,rR2(1),Excited B(v=1)  2  2 F2f - Ground v=0  1  1 F2f
LinearMolecule,Excited,2,f,4,Ground,1,f,1,41427.4784640883,6.91250642489722E-7,42006.2300016016,578.751537513229,0.000618218863198687,8271.0603762525,0,qR12(1),Excited App(14)  2  1 F1f - Ground v=0  1  1 F2f
LinearMolecule,Excited,2,f,5,Ground,1,f,1,41437.1281226338,0.000107240365861434,42015.879660147,578.751537513229,0.0959102429663968,1284066.08056213,0,sR32(1),Excited App(14)  2  3 F3f - Ground v=0  1  1 F2f
LinearMolecule,Excited,0,e,2,Ground,1,e,1,41419.5183239679,0.000373177246751912,41988.7192468933,569.200922925456,0.318808156808509,21314149.0869629,0,rP1(1),Excited B(v=1)  0  1 F1e - Ground v=0  1  0 F1e
