Line list produced by Pgopher 10.0.505 13 Feb 2017 17:57  64 bit (fpc 3.1.1 x86_64-Linux),10000505
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,Excited,1,e,1,Ground,0,e,1,45512.1710138009,1.7999523133124E-6,45506.5797205949,-5.59129320600919,0.00153034772663902,45245.4558864417,0,qR21(0),Excited C(2)  1  1 F2e - Ground X(0)  0  1 F1e
LinearMolecule,Excited,1,e,2,Ground,0,e,1,45522.357960438,9.66850651591598E-6,45516.766667232,-5.59129320600919,0.00822031609237336,243200.774632119,0,pR1(0),Excited B(7)  1  0 F1e - Ground X(0)  0  1 F1e
LinearMolecule,Excited,1,e,3,Ground,0,e,1,45546.7580423289,7.80380791804304E-7,45541.1667491229,-5.59129320600919,0.000663492005770266,19661.2122720449,0,rR31(0),Excited B(7)  1  2 F3e - Ground X(0)  0  1 F1e
LinearMolecule,Excited,1,e,4,Ground,0,e,1,45752.0968094602,1.48412676512127E-7,45746.5055162542,-5.59129320600919,0.000126182788524424,3789.96601801434,0,rR31(0),Excited C(2)  1  2 F3e - Ground X(0)  0  1 F1e
LinearMolecule,Excited,0,f,1,Ground,1,f,1,45737.5942438252,7.15395288619269E-7,45742.5549573971,4.9607135719368,0.000639813468918085,57596.5901524676,0,qP32(1),Excited C(2)  0  1 F3f - Ground X(0)  1  1 F2f
LinearMolecule,Excited,1,e,1,Ground,1,f,1,45501.619007023,7.1128555012045E-6,45506.5797205949,4.9607135719368,0.00636137926057926,187946.406094216,0,qQ2(1),Excited C(2)  1  1 F2e - Ground X(0)  1  1 F2f
LinearMolecule,Excited,1,e,2,Ground,1,f,1,45511.80595366,3.99548708212771E-8,45516.766667232,4.9607135719368,0.0000357336215474298,1056.45603553688,0,pQ12(1),Excited B(7)  1  0 F1e - Ground X(0)  1  1 F2f
LinearMolecule,Excited,1,e,3,Ground,1,f,1,45536.2060355509,8.36862810756524E-6,45541.1667491229,4.9607135719368,0.00748447895137911,221632.930818863,0,rQ32(1),Excited B(7)  1  2 F3e - Ground X(0)  1  1 F2f
LinearMolecule,Excited,1,e,4,Ground,1,f,1,45741.5448026822,1.0836879843674E-6,45746.5055162542,4.9607135719368,0.000969195883077667,29090.1681485461,0,rQ32(1),Excited C(2)  1  2 F3e - Ground X(0)  1  1 F2f
LinearMolecule,Excited,2,f,1,Ground,1,f,1,45364.755844974,2.21105268952977E-6,45369.716558546,4.9607135719368,0.00197745402262718,34738.8603092029,0,qR12(1),Excited C(2)  2  1 F1f - Ground X(0)  1  1 F2f
LinearMolecule,Excited,2,f,2,Ground,1,f,1,45504.0106892036,6.72100288190217E-6,45508.9714027755,4.9607135719368,0.00601092603891444,106572.18074065,0,rR2(1),Excited C(2)  2  2 F2f - Ground X(0)  1  1 F2f
LinearMolecule,Excited,2,f,3,Ground,1,f,1,45538.2458533293,8.76778381461975E-6,45543.2065669013,4.9607135719368,0.00784146368643642,139341.174270186,0,rR2(1),Excited B(7)  2  2 F2f - Ground X(0)  1  1 F2f
LinearMolecule,Excited,2,f,4,Ground,1,f,1,45741.70934868,3.36077655145251E-7,45746.6700622519,4.9607135719368,0.000300570906441593,5412.99404337364,0,sR32(1),Excited C(2)  2  3 F3f - Ground X(0)  1  1 F2f
LinearMolecule,Excited,0,e,1,Ground,1,e,1,45520.2991175413,0.0000101284576594286,45515.708567444,-4.59055009731639,0.00865280330788646,767883.959651766,0,rP1(1),Excited B(7)  0  1 F1e - Ground X(0)  1  0 F1e
LinearMolecule,Excited,0,e,2,Ground,1,e,1,45749.7313442339,2.71913112596919E-7,45745.1407941366,-4.59055009731639,0.000232297034676951,20928.2422055862,0,rP31(1),Excited C(2)  0  1 F3e - Ground X(0)  1  0 F1e
LinearMolecule,Excited,0,e,1,Ground,1,e,2,45510.3127585849,5.69890247398988E-7,45515.708567444,5.39580885911281,0.00051074575171896,45295.7719805373,0,pP13(1),Excited B(7)  0  1 F1e - Ground X(0)  1  2 F3e
