Line list produced by Pgopher 10.0.505 13 Feb 2017 17:57  64 bit (fpc 3.1.1 x86_64-Linux),10000505
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
N2,u,1,e,1,g,0,e,1,2772.38375883264,7.9256975021293,13987.3315263347,11214.9477675021,0.666666666666667,2227.61929567155,0,rR1e(0),u W3Deltauv=3  1  2 F1e - g B3Pigv=1  0  1 F1e
N2,u,1,f,1,g,0,f,1,2770.07461996146,3.92607201965891,13987.3315263347,11217.2569063733,0.333333333333333,2222.05772891358,0,rR1f(0),u W3Deltauv=3  1  2 F1f - g B3Pigv=1  0  1 F1f
N2,u,1,e,1,g,1,f,1,2767.10292325989,11.5682930630932,13987.3315263347,11220.2286030748,0.994036158661978,3302.55693954251,0,rQ1f(1),u W3Deltauv=3  1  2 F1e - g B3Pigv=1  1  1 F1f
N2,u,1,e,1,g,1,f,2,2725.15759263472,0.0585675891888191,13987.3315263347,11262.1739337,0.00596384133802153,18.9266233424787,0,qQ12f(1),u W3Deltauv=3  1  2 F1e - g B3Pigv=1  1  2 F2f
N2,u,2,f,1,g,1,f,1,2770.95945034505,10.6529582967891,13991.1880534199,11220.2286030748,0.911564008210748,1824.74055022441,0,rR1f(1),u W3Deltauv=3  2  2 F1f - g B3Pigv=1  1  1 F1f
N2,u,2,f,2,g,1,f,1,2781.67727698807,1.11606058533809,14001.9058800629,11220.2286030748,0.0943998331272739,191.167868430197,0,sR21f(1),u W3Deltauv=3  2  3 F2f - g B3Pigv=1  1  1 F1f
N2,u,2,f,1,g,1,f,2,2729.01411971987,2.51522530310866,13991.1880534199,11262.1739337,0.255036051625415,487.688333795499,0,qR12f(1),u W3Deltauv=3  2  2 F1f - g B3Pigv=1  1  2 F2f
N2,u,2,f,2,g,1,f,2,2739.73194636289,17.3534594909278,14001.9058800629,11262.1739337,1.73900010703656,3364.70716273102,0,rR2f(1),u W3Deltauv=3  2  3 F2f - g B3Pigv=1  1  2 F2f
N2,u,1,f,1,g,1,e,1,2769.39769856478,5.84171888553034,13987.3315263347,11217.9338277699,0.497334215232494,3312.88611923992,0,rQ1e(1),u W3Deltauv=3  1  2 F1f - g B3Pigv=1  1  1 F1e
N2,u,1,f,1,g,1,e,2,2725.17212317229,0.0261807416543608,13987.3315263347,11262.1594031624,0.00266578476750599,16.920339901143,0,qQ12e(1),u W3Deltauv=3  1  2 F1f - g B3Pigv=1  1  2 F2e
