Line list produced by Pgopher 10.0.505 13 Feb 2017 17:57  64 bit (fpc 3.1.1 x86_64-Linux),10000505
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,Excited,1,e,1,Ground,0,e,1,49996.2907332198,0.000258830109219955,49993.9373998865,-2.35333333333333,0.319219172070461,12511359.6736134,0,qR1e(0),Excited B(0)  1  1 F1e - Ground X(0)  0  1 F1e
LinearMolecule,Excited,1,e,2,Ground,0,e,1,50007.2159334468,0.0000114440804965529,50004.8626001135,-2.35333333333333,0.0141141612628724,553548.008785641,0,rR21e(0),Excited B(0)  1  2 F2e - Ground X(0)  0  1 F1e
LinearMolecule,Excited,1,f,1,Ground,0,f,1,49996.2907332198,0.000258830109219955,49993.9373998865,-2.35333333333333,0.319219172070461,12511359.6736134,0,qR1f(0),Excited B(0)  1  1 F1f - Ground X(0)  0  1 F1f
LinearMolecule,Excited,1,f,2,Ground,0,f,1,50007.2159334468,0.0000114440804965529,50004.8626001135,-2.35333333333333,0.0141141612628724,553548.008785641,0,rR21f(0),Excited B(0)  1  2 F2f - Ground X(0)  0  1 F1f
LinearMolecule,Excited,0,f,1,Ground,1,f,1,49993.5453405564,0.000215435420494837,49992.2,-1.34534055643683,0.266987403172661,31387449.1806076,0,qP1f(1),Excited B(0)  0  1 F1f - Ground X(0)  1  1 F1f
LinearMolecule,Excited,0,f,1,Ground,1,f,2,49988.5613261102,0.0000522708668405372,49992.2,3.63867388977016,0.0663459301606726,7797396.94337996,0,pP12f(1),Excited B(0)  0  1 F1f - Ground X(0)  1  2 F2f
LinearMolecule,Excited,1,e,1,Ground,1,f,1,49995.2827404429,3.40022936482487E-6,49993.9373998865,-1.34534055643683,0.00421387720840351,165147.175519508,0,qQ1f(1),Excited B(0)  1  1 F1e - Ground X(0)  1  1 F1f
LinearMolecule,Excited,1,e,2,Ground,1,f,1,50006.2079406699,0.0000769027916341214,50004.8626001135,-1.34534055643683,0.0953050180326052,3737573.3383858,0,rQ21f(1),Excited B(0)  1  2 F2e - Ground X(0)  1  1 F1f
LinearMolecule,Excited,1,e,1,Ground,1,f,2,49990.2987259967,0.0000133599174706994,49993.9373998865,3.63867388977016,0.0169573646859051,664381.826022885,0,pQ12f(1),Excited B(0)  1  1 F1e - Ground X(0)  1  2 F2f
LinearMolecule,Excited,1,e,2,Ground,1,f,2,50001.2239262237,0.000302160483679951,50004.8626001135,3.63867388977016,0.383523740073086,15036139.45504,0,qQ2f(1),Excited B(0)  1  2 F2e - Ground X(0)  1  2 F2f
LinearMolecule,Excited,2,f,1,Ground,1,f,1,49998.7979307031,0.0005069385447173,49997.4525901467,-1.34534055643683,0.628244906577206,14776143.6309555,0,qR1f(1),Excited B(0)  2  1 F1f - Ground X(0)  1  1 F1f
LinearMolecule,Excited,2,f,2,Ground,1,f,1,50009.9541418155,5.59398800423078E-7,50008.608801259,-1.34534055643683,0.000693258484235366,16316.1616881167,0,rR21f(1),Excited B(0)  2  2 F2f - Ground X(0)  1  1 F1f
LinearMolecule,Excited,2,f,3,Ground,1,f,1,50017.2839491507,3.67591847089598E-6,50015.9386085943,-1.34534055643683,0.00455553652488847,107263.826507836,0,sR31f(1),Excited B(0)  2  3 F3f - Ground X(0)  1  1 F1f
LinearMolecule,Excited,2,f,1,Ground,1,f,2,49993.8139162569,0.0000137715843947874,49997.4525901467,3.63867388977016,0.0174798818478707,410998.975291019,0,pR12f(1),Excited B(0)  2  1 F1f - Ground X(0)  1  2 F2f
LinearMolecule,Excited,2,f,2,Ground,1,f,2,50004.9701273692,0.000328164245597371,50008.608801259,3.63867388977016,0.416529578245831,9800287.16171569,0,qR2f(1),Excited B(0)  2  2 F2f - Ground X(0)  1  2 F2f
LinearMolecule,Excited,2,f,3,Ground,1,f,2,50012.2999347045,0.000078126304839567,50015.9386085943,3.63867388977016,0.0991635049866347,2334187.76417677,0,rR32f(1),Excited B(0)  2  3 F3f - Ground X(0)  1  2 F2f
LinearMolecule,Excited,0,e,1,Ground,1,e,1,49993.5453405564,0.000215435420494837,49992.2,-1.34534055643683,0.266987403172661,31387449.1806076,0,qP1e(1),Excited B(0)  0  1 F1e - Ground X(0)  1  1 F1e
LinearMolecule,Excited,0,e,1,Ground,1,e,2,49988.5613261102,0.0000522708668405372,49992.2,3.63867388977016,0.0663459301606726,7797396.94337996,0,pP12e(1),Excited B(0)  0  1 F1e - Ground X(0)  1  2 F2e
LinearMolecule,Excited,1,f,1,Ground,1,e,1,49995.2827404429,3.40022936482487E-6,49993.9373998865,-1.34534055643683,0.00421387720840351,165147.175519508,0,qQ1e(1),Excited B(0)  1  1 F1f - Ground X(0)  1  1 F1e
LinearMolecule,Excited,1,f,2,Ground,1,e,1,50006.2079406699,0.0000769027916341214,50004.8626001135,-1.34534055643683,0.0953050180326052,3737573.3383858,0,rQ21e(1),Excited B(0)  1  2 F2f - Ground X(0)  1  1 F1e
