Line list produced by Pgopher 10.0.505 13 Feb 2017 17:57  64 bit (fpc 3.1.1 x86_64-Linux),10000505
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,Excited,1,e,1,Ground,0,e,1,44158.7159679338,0.0001960182388593,44153.1246747278,-5.59129320600733,0.166657757833311,4500668.56781046,0,qR21(0),Excited C(0)  1  1 F2e - Ground X(0)  0  1 F1e
LinearMolecule,Excited,1,e,2,Ground,0,e,1,44341.1554718115,1.047832304615E-8,44335.5641786055,-5.59129320600733,8.90883335595078E-6,243.581354601877,0,rR31(0),Excited C(0)  1  2 F3e - Ground X(0)  0  1 F1e
LinearMolecule,Excited,0,f,1,Ground,1,f,1,44331.4199050947,0.0000931776006291922,44336.3806186667,4.96071357193867,0.0833333333333334,6830887.32162943,0,qP32(1),Excited C(0)  0  1 F3f - Ground X(0)  1  1 F2f
LinearMolecule,Excited,1,e,1,Ground,1,f,1,44148.1639611559,7.47093344861527E-9,44153.1246747278,4.96071357193867,6.68162501696308E-6,180.311002060427,0,qQ2(1),Excited C(0)  1  1 F2e - Ground X(0)  1  1 F2f
LinearMolecule,Excited,1,e,2,Ground,1,f,1,44330.6034650336,0.00013975893001034,44335.5641786055,4.96071357193867,0.124993318374983,3415072.40469248,0,rQ32(1),Excited C(0)  1  2 F3e - Ground X(0)  1  1 F2f
LinearMolecule,Excited,2,f,1,Ground,1,f,1,43968.3541257195,0.000279487830853876,43973.3148392914,4.96071357193867,0.249959780181971,3998012.97295118,0,qR12(1),Excited C(0)  2  1 F1f - Ground X(0)  1  1 F2f
LinearMolecule,Excited,2,f,2,Ground,1,f,1,44150.4315494824,6.69185415489231E-8,44155.3922630544,4.96071357193867,0.0000598485590036734,969.196852914523,0,rR2(1),Excited C(0)  2  2 F2f - Ground X(0)  1  1 F2f
LinearMolecule,Excited,2,f,3,Ground,1,f,1,44334.8499760822,0.0000465668528067476,44339.8106896542,4.96071357193867,0.0416470379256922,682925.432222144,0,sR32(1),Excited C(0)  2  3 F3f - Ground X(0)  1  1 F2f
LinearMolecule,Excited,0,e,1,Ground,1,e,1,44339.011168764,4.2500249646556E-6,44334.4206186667,-4.59055009729329,0.0036308217148303,297773.727191111,0,rP31(1),Excited C(0)  0  1 F3e - Ground X(0)  1  0 F1e
LinearMolecule,Excited,0,e,1,Ground,1,e,2,44329.0248098075,0.0000889320986088335,44334.4206186667,5.39580885913996,0.0797025116185031,6532207.65150605,0,pP3(1),Excited C(0)  0  1 F3e - Ground X(0)  1  2 F3e
LinearMolecule,Excited,1,f,1,Ground,1,e,1,44157.7153284795,0.000280481891129115,44153.1247783822,-4.59055009729329,0.239617355050239,6470535.79386703,0,rQ21(1),Excited C(0)  1  1 F2f - Ground X(0)  1  0 F1e
