Line list produced by Pgopher 10.0.505 13 Feb 2017 17:57  64 bit (fpc 3.1.1 x86_64-Linux),10000505
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,Excited,1,f,1,Ground,0,f,1,49948.745573954,0.000309814280216997,49949.3922406207,0.646666666666667,0.194713237358667,7609768.10367362,0,pR1(0),Excited C(0)  1  0 F1f - Ground X(0)  0  1 F1f
LinearMolecule,Excited,1,f,2,Ground,0,f,1,49956.5185968809,0.000211269163885548,49957.1652635476,0.646666666666667,0.132779234144408,5191691.08477392,0,rR31(0),Excited C(0)  1  2 F3f - Ground X(0)  0  1 F1f
LinearMolecule,Excited,1,f,3,Ground,0,f,1,49994.0658123204,0.0000162002443215349,49994.7124789871,0.646666666666667,0.0101815901308295,399000.252649844,0,qR1(0),Excited B(0)  1  1 F1f - Ground X(0)  0  1 F1f
LinearMolecule,Excited,1,f,4,Ground,0,f,1,50004.5866835113,0.00105384737395105,50005.233350178,0.646666666666667,0.662325938366095,25971885.3511679,0,rR21(0),Excited B(0)  1  2 F2f - Ground X(0)  0  1 F1f
LinearMolecule,Excited,0,f,1,Ground,1,f,1,49950.807148818,0.000194101441302419,49950.6445260539,-0.162622764077797,0.121517040184032,14249123.6871134,0,rP31(1),Excited C(0)  0  1 F3f - Ground X(0)  1  0 F1f
LinearMolecule,Excited,0,f,2,Ground,1,f,1,49993.1647633768,0.000338338127141264,49993.0021406127,-0.162622764077797,0.211816293149301,24900880.0649609,0,rP1(1),Excited B(0)  0  1 F1f - Ground X(0)  1  0 F1f
LinearMolecule,Excited,0,f,1,Ground,1,f,2,49945.1785699565,0.000329327116627361,49950.6445260539,5.46595609741113,0.211816293149301,24829245.1590456,0,pP3(1),Excited C(0)  0  1 F3f - Ground X(0)  1  2 F3f
LinearMolecule,Excited,0,f,2,Ground,1,f,2,49987.5361845153,0.000188931908258306,49993.0021406127,5.46595609741113,0.121517040184032,14280579.1243546,0,pP13(1),Excited B(0)  0  1 F1f - Ground X(0)  1  2 F3f
LinearMolecule,Excited,1,e,1,Ground,1,f,1,49953.2917840893,0.000306040680772721,49953.1291613252,-0.162622764077797,0.191596504662038,7490004.98317751,0,rQ21(1),Excited C(0)  1  1 F2e - Ground X(0)  1  0 F1f
LinearMolecule,Excited,1,e,2,Ground,1,f,1,49994.1228466552,0.000656202117199217,49993.9602238911,-0.162622764077797,0.410814770408149,16099229.6953384,0,rQ1(1),Excited B(0)  1  1 F1e - Ground X(0)  1  0 F1f
LinearMolecule,Excited,1,e,3,Ground,1,f,1,50005.3299042144,0.00063507590735911,50005.1672814503,-0.162622764077797,0.397588724929812,15591400.8840372,0,sQ21(1),Excited B(0)  1  2 F2e - Ground X(0)  1  0 F1f
LinearMolecule,Excited,1,e,1,Ground,1,f,2,49947.6632052278,0.000472558845195079,49953.1291613252,5.46595609741113,0.303939936404922,11877785.5503879,0,pQ23(1),Excited C(0)  1  1 F2e - Ground X(0)  1  2 F3f
LinearMolecule,Excited,1,e,2,Ground,1,f,2,49988.4942677937,0.000204490714713596,49993.9602238911,5.46595609741113,0.131524138120385,5152497.83900522,0,pQ13(1),Excited B(0)  1  1 F1e - Ground X(0)  1  2 F3f
LinearMolecule,Excited,1,e,3,Ground,1,f,2,49999.7013253529,0.000877727514748326,50005.1672814503,5.46595609741113,0.564535925474693,22130743.3885179,0,qQ23(1),Excited B(0)  1  2 F2e - Ground X(0)  1  2 F3f
LinearMolecule,Excited,2,f,1,Ground,1,f,1,49952.2946556686,0.00107341509134218,49952.1320329046,-0.162622764077797,0.672010593602678,15761439.7828859,0,rR1(1),Excited C(0)  2  1 F1f - Ground X(0)  1  0 F1f
LinearMolecule,Excited,2,f,2,Ground,1,f,1,49965.7403625137,4.0888691596139E-6,49965.5777397496,-0.162622764077797,0.00255983301639635,60087.2122242661,0,tR31(1),Excited C(0)  2  3 F3f - Ground X(0)  1  0 F1f
LinearMolecule,Excited,2,f,3,Ground,1,f,1,49998.3458968622,0.000372071636114098,49998.1832740981,-0.162622764077797,0.232935127393369,5478420.13643639,0,rR1(1),Excited B(0)  2  1 F1f - Ground X(0)  1  0 F1f
LinearMolecule,Excited,2,f,4,Ground,1,f,1,50009.1432847317,0.00103089853391013,50008.9806619676,-0.162622764077797,0.645393139433922,15188889.6409363,0,sR21(1),Excited B(0)  2  2 F2f - Ground X(0)  1  0 F1f
LinearMolecule,Excited,2,f,5,Ground,1,f,1,50016.1922473776,0.000181723711692388,50016.0296246135,-0.162622764077797,0.113767973220301,2678584.40693314,0,tR31(1),Excited B(0)  2  3 F3f - Ground X(0)  1  0 F1f
LinearMolecule,Excited,2,f,1,Ground,1,f,2,49946.6660768071,4.81441249879098E-6,49952.1320329046,5.46595609741113,0.00309652912772276,72601.9225614432,0,pR13(1),Excited C(0)  2  1 F1f - Ground X(0)  1  2 F3f
LinearMolecule,Excited,2,f,2,Ground,1,f,2,49960.1117836522,0.000714616849663755,49965.5777397496,5.46595609741113,0.459626567250104,10785213.9856725,0,rR3(1),Excited C(0)  2  3 F3f - Ground X(0)  1  2 F3f
LinearMolecule,Excited,2,f,3,Ground,1,f,2,49992.7173180007,0.0000302544955912769,49998.1832740981,5.46595609741113,0.0194590569184662,457504.590531371,0,pR13(1),Excited B(0)  2  1 F1f - Ground X(0)  1  2 F3f
LinearMolecule,Excited,2,f,4,Ground,1,f,2,50003.5147058702,0.000258754424331167,50008.9806619676,5.46595609741113,0.166425417861433,3915386.95090457,0,qR23(1),Excited B(0)  2  2 F2f - Ground X(0)  1  2 F3f
LinearMolecule,Excited,2,f,5,Ground,1,f,2,50010.5636685161,0.00158285494234334,50016.0296246135,5.46595609741113,1.01805909550894,23961371.6366881,0,rR3(1),Excited B(0)  2  3 F3f - Ground X(0)  1  2 F3f
LinearMolecule,Excited,0,e,1,Ground,1,e,1,49989.5433333333,0.000525288851888291,49992.2,2.65666666666667,0.333333333333333,39177768.5265632,0,qP12(1),Excited B(0)  0  1 F1e - Ground X(0)  1  1 F2e
LinearMolecule,Excited,1,f,1,Ground,1,e,1,49946.735573954,0.000513659571330901,49949.3922406207,2.65666666666667,0.325953723355835,12737361.0848018,0,pQ12(1),Excited C(0)  1  0 F1f - Ground X(0)  1  1 F2e
LinearMolecule,Excited,1,f,2,Ground,1,e,1,49954.5085968809,0.000265832280344417,49957.1652635476,2.65666666666667,0.16868958820708,6594996.04419907,0,rQ32(1),Excited C(0)  1  2 F3f - Ground X(0)  1  1 F2e
LinearMolecule,Excited,1,f,3,Ground,1,e,1,49992.0558123204,0.000726964361323311,49994.7124789871,2.65666666666667,0.461310863353273,18075855.4317065,0,qQ12(1),Excited B(0)  1  1 F1f - Ground X(0)  1  1 F2e
LinearMolecule,Excited,1,f,4,Ground,1,e,1,50002.5766835113,0.0000694103426662431,50005.233350178,2.65666666666667,0.0440458250838112,1726967.20824383,0,rQ2(1),Excited B(0)  1  2 F2f - Ground X(0)  1  1 F2e
LinearMolecule,Excited,2,e,1,Ground,1,e,1,49956.0594108737,0.000772121677454373,49958.7160775404,2.65666666666667,0.489966409071107,11494345.9817406,0,rR2(1),Excited C(0)  2  2 F2e - Ground X(0)  1  1 F2e
LinearMolecule,Excited,2,e,2,Ground,1,e,1,49994.858690318,0.000197546393712986,49997.5153569847,2.65666666666667,0.12535731087309,2947671.89752411,0,qR12(1),Excited B(0)  2  1 F1e - Ground X(0)  1  1 F2e
LinearMolecule,Excited,2,e,3,Ground,1,e,1,50006.1609460821,0.000468528788722027,50008.8176127488,2.65666666666667,0.297315015054907,6995855.39172461,0,rR2(1),Excited B(0)  2  2 F2e - Ground X(0)  1  1 F2e
LinearMolecule,Excited,2,e,4,Ground,1,e,1,50013.3509527262,0.00118824739955207,50016.0076193928,2.65666666666667,0.754027931667563,17750015.3652163,0,sR32(1),Excited B(0)  2  3 F3e - Ground X(0)  1  1 F2e
LinearMolecule,Excited,1,e,1,Ground,2,e,1,49946.4724946585,0.000779862188089904,49953.1291613252,6.65666666666667,0.50446355893304,19712715.3663668,0,pP2(2),Excited C(0)  1  1 F2e - Ground X(0)  2  2 F2e
LinearMolecule,Excited,1,e,2,Ground,2,e,1,49987.3035572245,0.000707509142887217,49993.9602238911,6.65666666666667,0.457661091471465,17927730.3392449,0,pP12(2),Excited B(0)  1  1 F1e - Ground X(0)  2  2 F2e
LinearMolecule,Excited,1,e,3,Ground,2,e,1,49998.5106147837,0.0000585524018279647,50005.1672814503,6.65666666666667,0.0378753495954947,1484670.36727037,0,qP2(2),Excited B(0)  1  2 F2e - Ground X(0)  2  2 F2e
LinearMolecule,Excited,2,f,1,Ground,2,e,1,49945.4753662379,0.000319171866572728,49952.1320329046,6.65666666666667,0.206460292833198,4840368.54583886,0,pQ12(2),Excited C(0)  2  1 F1f - Ground X(0)  2  2 F2e
LinearMolecule,Excited,2,f,2,Ground,2,e,1,49958.921073083,0.000101333084886322,49965.5777397496,6.65666666666667,0.0655485666828162,1537998.06762153,0,rQ32(2),Excited C(0)  2  3 F3f - Ground X(0)  2  2 F2e
LinearMolecule,Excited,2,f,3,Ground,2,e,1,49991.5266074315,0.000961466903768552,49998.1832740981,6.65666666666667,0.621936828684275,14621398.3877144,0,pQ12(2),Excited B(0)  2  1 F1f - Ground X(0)  2  2 F2e
LinearMolecule,Excited,2,f,4,Ground,2,e,1,50002.3239953009,0.000748283439377671,50008.9806619676,6.65666666666667,0.484036452445107,11386810.0761983,0,qQ2(2),Excited B(0)  2  2 F2f - Ground X(0)  2  2 F2e
LinearMolecule,Excited,2,f,5,Ground,2,e,1,50009.3729579468,0.000446284260069869,50016.0296246135,6.65666666666667,0.28868452602127,6794088.05629711,0,rQ32(2),Excited B(0)  2  3 F3f - Ground X(0)  2  2 F2e
LinearMolecule,Excited,3,e,1,Ground,2,e,1,49960.4376907545,0.0013341359592615,49967.0943574211,6.65666666666667,0.863002443749735,14464923.1755015,0,rR2(2),Excited C(0)  3  3 F2e - Ground X(0)  2  2 F2e
LinearMolecule,Excited,3,e,2,Ground,2,e,1,49996.2749490992,0.000315714777973668,50002.9316157659,6.65666666666667,0.204224032061919,3430403.38427487,0,qR12(2),Excited B(0)  3  2 F1e - Ground X(0)  2  2 F2e
