Line list produced by Pgopher 10.0.505 13 Feb 2017 17:57  64 bit (fpc 3.1.1 x86_64-Linux),10000505
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
LinearMolecule,Excited,1,f,1,Ground,0,f,1,49949.2395223624,0.000238808482519343,49949.886189029,0.646666666666667,0.150087248100647,5865872.56778176,0,pR1(0),Excited C(0)  1  0 F1f - Ground X(0)  0  1 F1f
LinearMolecule,Excited,1,f,2,Ground,0,f,1,49957.1682416377,0.000291568538272368,49957.8149083043,0.646666666666667,0.183246085232686,7165233.24267859,0,rR31(0),Excited C(0)  1  2 F3f - Ground X(0)  0  1 F1f
LinearMolecule,Excited,0,f,1,Ground,1,f,1,49951.6086187641,0.00026669276290931,49951.445996,-0.162622764077797,0.166962774566668,19579046.2159804,0,rP31(1),Excited C(0)  0  1 F3f - Ground X(0)  1  0 F1f
LinearMolecule,Excited,0,f,1,Ground,1,f,2,49945.9800399026,0.000258669130668287,49951.445996,5.46595609741113,0.166370558766666,19503005.1563157,0,pP3(1),Excited C(0)  0  1 F3f - Ground X(0)  1  2 F3f
LinearMolecule,Excited,1,e,1,Ground,1,f,1,49953.6192187641,0.00039862020830156,49953.456596,-0.162622764077797,0.249555838149998,9755977.70507937,0,rQ21(1),Excited C(0)  1  1 F2e - Ground X(0)  1  0 F1f
LinearMolecule,Excited,1,e,1,Ground,1,f,2,49947.9906399026,0.00038938484132607,49953.456596,5.46595609741113,0.250444161850002,9787396.10607523,0,pQ23(1),Excited C(0)  1  1 F2e - Ground X(0)  1  2 F3f
LinearMolecule,Excited,2,f,1,Ground,1,f,1,49952.7688488049,0.000922466875400338,49952.6062260408,-0.162622764077797,0.577509592995817,13545384.5337093,0,rR1(1),Excited C(0)  2  1 F1f - Ground X(0)  1  0 F1f
LinearMolecule,Excited,2,f,2,Ground,1,f,1,49966.4543153899,9.53885871984023E-6,49966.2916926258,-0.162622764077797,0.00597179428751714,140182.523770725,0,tR31(1),Excited C(0)  2  3 F3f - Ground X(0)  1  0 F1f
LinearMolecule,Excited,2,f,1,Ground,1,f,2,49947.1402699434,1.59904924935019E-6,49952.6062260408,5.46595609741113,0.00102847493406922,24114.542827596,0,pR13(1),Excited C(0)  2  1 F1f - Ground X(0)  1  2 F3f
LinearMolecule,Excited,2,f,2,Ground,1,f,2,49960.8257365284,0.000905124053413293,49966.2916926258,5.46595609741113,0.582156804449263,13660992.0668767,0,rR3(1),Excited C(0)  2  3 F3f - Ground X(0)  1  2 F3f
LinearMolecule,Excited,1,f,1,Ground,1,e,1,49947.2295223624,0.000433157065762058,49949.886189029,2.65666666666667,0.274869127849029,10741436.4532989,0,pQ12(1),Excited C(0)  1  0 F1f - Ground X(0)  1  1 F2e
LinearMolecule,Excited,1,f,2,Ground,1,e,1,49955.1582416376,0.000354776212070379,49957.8149083043,2.65666666666667,0.225130872150971,8801937.05850141,0,rQ32(1),Excited C(0)  1  2 F3f - Ground X(0)  1  1 F2e
LinearMolecule,Excited,2,e,1,Ground,1,e,1,49956.399764,0.000787933277832437,49959.0564306667,2.65666666666667,0.5,11729968.3255753,0,rR2(1),Excited C(0)  2  2 F2e - Ground X(0)  1  1 F2e
LinearMolecule,Excited,1,e,1,Ground,2,e,1,49946.7999293333,0.000772961866402543,49953.456596,6.65666666666667,0.5,19538678.9714201,0,pP2(2),Excited C(0)  1  1 F2e - Ground X(0)  2  2 F2e
LinearMolecule,Excited,2,f,1,Ground,2,e,1,49945.9495593742,0.000227066820543409,49952.6062260408,6.65666666666667,0.146880997894634,3443656.90175866,0,pQ12(2),Excited C(0)  2  1 F1f - Ground X(0)  2  2 F2e
LinearMolecule,Excited,2,f,2,Ground,2,e,1,49959.6350259592,0.000202356438569114,49966.2916926258,6.65666666666667,0.130896779883143,3071426.81919018,0,rQ32(2),Excited C(0)  2  3 F3f - Ground X(0)  2  2 F2e
LinearMolecule,Excited,3,e,1,Ground,2,e,1,49960.799456,0.00137415442916008,49967.4561226667,6.65666666666667,0.888888888888889,14899133.7090978,0,rR2(2),Excited C(0)  3  3 F2e - Ground X(0)  2  2 F2e
LinearMolecule,Excited,1,f,1,Ground,2,f,1,49948.1090095149,0.000909601879104919,49949.886189029,1.77717951415513,0.574777919508094,22462568.6031202,0,pP1(2),Excited C(0)  1  0 F1f - Ground X(0)  2  1 F1f
LinearMolecule,Excited,1,f,2,Ground,2,f,1,49956.0377287902,0.0000136744508705181,49957.8149083043,1.77717951415513,0.0086408929030647,337850.654850619,0,rP31(2),Excited C(0)  1  2 F3f - Ground X(0)  2  1 F1f
LinearMolecule,Excited,1,f,1,Ground,2,f,2,49938.3600352098,4.01277365263048E-7,49949.886189029,11.5261538191782,0.000265704542229884,10377.7688915524,0,nP13(2),Excited C(0)  1  0 F1f - Ground X(0)  2  3 F3f
LinearMolecule,Excited,1,f,2,Ground,2,f,2,49946.2887544851,0.000880442385625204,49957.8149083043,11.5261538191782,0.582982149713278,22780702.6847765,0,pP3(2),Excited C(0)  1  2 F3f - Ground X(0)  2  3 F3f
